legacy_int_name,canonical_name,material_class,source_evidence
Mix_1,M1,0,row-FP: M1
Mix_2,M2,0,row-FP: M2
Mix_3,M3,0,row-FP: M3
Mix_4,M4,0,row-FP: M4
Mix_5,M5,0,row-FP: M5
Mix_6,M6,0,row-FP: M6
Mix_7,M7,0,row-FP: M7
Mix_8,M8,0,row-FP: M8
Mix_9,M9,0,row-FP: M9
Mix_10,M10,0,row-FP: M10
Mix_11,M11,0,row-FP: M11
Mix_12,M12,0,row-FP: M12
Mix_13,M13,0,row-FP: M13
Mix_14,M14,0,row-FP: M14
Mix_15,M15,0,row-FP: M15
Mix_16,M16,0,row-FP: M16
Mix_17,M17,0,row-FP: M17
Mix_18,M18,0,row-FP: M18
Mix_19,M19,0,row-FP: M19
Mix_20,M20,0,row-FP: M20
Mix_21,M21,0,row-FP: M21
Mix_22,M22,0,row-FP: M22
Mix_23,M23,0,row-FP: M23
Mix_24,M24,0,row-FP: M24
Mix_25,M25,0,row-FP: M25
Mix_26,M26,0,row-FP: M26
Mix_27,M27,0,row-FP: M27
Mix_28,M28,0,row-FP: M28
Mix_29,M29,0,row-FP: M29
Mix_30,M30,0,row-FP: M30
Mix_31,M31,0,row-FP: M31
Mix_32,M32,0,row-FP: M32
Mix_33,M33,0,row-FP: M33
Mix_34,M34,0,row-FP: M34
Mix_35,M35,0,row-FP: M35
Mix_36,M36,0,row-FP: M36
Mix_37,M37,0,row-FP: M37
Mix_38,M38,0,row-FP: M38
Mix_39,M39,0,row-FP: M39
Mix_40,M40,0,row-FP: M40
Mix_41,M41,0,row-FP: M41
Mix_42,M42,0,row-FP: M42
Mix_43,M43,0,row-FP: M43
Mix_44,M44,0,row-FP: M44
Mix_45,M45,0,row-FP: M45
Mix_46,M46,0,row-FP: M46
Mix_47,M47,0,row-FP: M47
Mix_48,M48,0,row-FP: M48
Mix_49,M49,0,row-FP: M49
Mix_50,M50,0,row-FP: M50
Mix_51,M51,0,row-FP: M51
Mix_52,M52,0,row-FP: M52
Mix_53,M53,0,row-FP: M53
Mix_54,M54,0,row-FP: M54
Mix_55,M55,0,row-FP: M55
Mix_56,M56,0,row-FP: M56
Mix_57,M57,0,row-FP: M57
Mix_78,M58,0,row-FP: M78
Mix_79,M59,0,row-FP: M79
Mix_80,M60,0,"ambig ['M80', 'M81'] -> M80"
Mix_81,M61,0,"ambig ['M80', 'M81'] -> M81 (others used)"
Mix_82,M62,0,row-FP: M82
Mix_83,C1,1,row-FP: M83
Mix_84,C2,1,row-FP: M84
Mix_85,C3,1,row-FP: M85
Mix_86,C4,1,row-FP: M86
Mix_87,C5,1,row-FP: M87
Mix_88,C6,1,row-FP: M88
