phase,data,source_kernel,noise_mode,seed,n_train,loo_rmse,loo_mae,loo_mean_lpd,loo_pit_ks,loo_coverage_95,loo_crps,bloo_rmse,bloo_mae,bloo_mean_lpd,bloo_pit_ks,bloo_coverage_95,bloo_crps,bloo_n_blocks,bloo_avg_block_size,ell_time_blind,max_blind_lengthscale,min_blind_lengthscale,binder_within_ratio,aggregate_within_ratio,ell_time_specific,ell_time_rbf,bloo_set12_rmse,bloo_set12_mae,bloo_set12_mean_lpd,bloo_set12_pit_ks,bloo_set12_coverage_95,bloo_set12_crps,bloo_set12_n_rows,wall_sec,sigma_c0_psi,sigma_c1_psi,sigma_c2_psi,holdout_class,n_test,holdout_rmse,holdout_mae,holdout_mean_lpd,holdout_pit_ks,holdout_coverage_95,holdout_crps
in_distribution,v5,joint_hamming_matern,homoscedastic,0,647,494.8613748222676,347.7508299790882,-7.591672651219917,0.07834625714701438,0.9350849986076355,261.0210421810765,717.2828447793387,549.4024767823615,-7.99336363403126,0.02971556242535578,0.9366306066513062,401.2360021570325,144.0,4.493055555555555,80.19337931379606,80.19337931379606,0.06880914291015296,1.000002015707115,1.0000006201898886,7.757982367310767,126.98547029890152,835.117161242365,656.1092561373991,-8.24573232680832,0.04136552551851591,0.9189873337745667,484.1200162514733,395.0,71.3972680568695,,,,,,,,,,,
in_distribution,v5,joint_hamming_matern,homoscedastic,1,647,494.8613748222676,347.7508299790882,-7.591672651219917,0.07834625714701438,0.9350849986076355,261.0210421810765,717.2828447793387,549.4024767823615,-7.99336363403126,0.02971556242535578,0.9366306066513062,401.2360021570325,144.0,4.493055555555555,80.19337931379606,80.19337931379606,0.06880914291015296,1.000002015707115,1.0000006201898886,7.757982367310767,126.98547029890152,835.117161242365,656.1092561373991,-8.24573232680832,0.04136552551851591,0.9189873337745667,484.1200162514733,395.0,68.22817206382751,,,,,,,,,,,
in_distribution,v5,joint_hamming_matern,homoscedastic,2,647,494.8613748222676,347.7508299790882,-7.591672651219917,0.07834625714701438,0.9350849986076355,261.0210421810765,717.2828447793387,549.4024767823615,-7.99336363403126,0.02971556242535578,0.9366306066513062,401.2360021570325,144.0,4.493055555555555,80.19337931379606,80.19337931379606,0.06880914291015296,1.000002015707115,1.0000006201898886,7.757982367310767,126.98547029890152,835.117161242365,656.1092561373991,-8.24573232680832,0.04136552551851591,0.9189873337745667,484.1200162514733,395.0,66.86250400543213,,,,,,,,,,,
in_distribution,v5,joint_hamming_matern,per_class,0,647,500.4320828173874,344.721308622773,-7.475368288743948,0.05243756627964724,0.9489953517913818,256.3925636731907,742.6078679616535,562.0483019623132,-8.021166017914917,0.030246674656595807,0.9366306066513062,409.92297618243526,144.0,4.493055555555555,31.373697419848355,31.373697419848355,0.5380955181731281,1.0000019021396322,1.000000556713586,10.355112718632322,24.91917444937753,877.9105326224573,689.5846901419854,-8.243780513877034,0.05526934668224592,0.9620253443717957,505.05517502167186,395.0,69.64575505256653,508.63907636419566,405.96597658209623,180.67232792121536,,,,,,,,
in_distribution,v5,joint_hamming_matern,per_class,1,647,500.4320828173874,344.721308622773,-7.475368288743948,0.05243756627964724,0.9489953517913818,256.3925636731907,742.6078679616535,562.0483019623132,-8.021166017914917,0.030246674656595807,0.9366306066513062,409.92297618243526,144.0,4.493055555555555,31.373697419848355,31.373697419848355,0.5380955181731281,1.0000019021396322,1.000000556713586,10.355112718632322,24.91917444937753,877.9105326224573,689.5846901419854,-8.243780513877034,0.05526934668224592,0.9620253443717957,505.05517502167186,395.0,70.77943801879883,508.63907636419566,405.96597658209623,180.67232792121536,,,,,,,,
in_distribution,v5,joint_hamming_matern,per_class,2,647,500.4320828173874,344.721308622773,-7.475368288743948,0.05243756627964724,0.9489953517913818,256.3925636731907,742.6078679616535,562.0483019623132,-8.021166017914917,0.030246674656595807,0.9366306066513062,409.92297618243526,144.0,4.493055555555555,31.373697419848355,31.373697419848355,0.5380955181731281,1.0000019021396322,1.000000556713586,10.355112718632322,24.91917444937753,877.9105326224573,689.5846901419854,-8.243780513877034,0.05526934668224592,0.9620253443717957,505.05517502167186,395.0,71.56064987182617,508.63907636419566,405.96597658209623,180.67232792121536,,,,,,,,
loco,v5,joint_hamming_matern,homoscedastic,0,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.76882004737854,,,,0.0,246.0,2853.3062352253814,2384.7587786804834,-9.809996815630571,0.2245282169424127,1.0,2022.137579751771
loco,v5,joint_hamming_matern,homoscedastic,1,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.76447987556458,,,,0.0,246.0,2853.3062352253814,2384.7587786804834,-9.809996815630571,0.2245282169424127,1.0,2022.137579751771
loco,v5,joint_hamming_matern,homoscedastic,2,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3591697216034,,,,0.0,246.0,2853.3062352253814,2384.7587786804834,-9.809996815630571,0.2245282169424127,1.0,2022.137579751771
loco,v5,joint_hamming_matern,per_class,0,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.30173897743225,,,,0.0,246.0,3596.110815125326,2939.7485010756322,-10.018858431859968,0.36869800835331,1.0,2507.948023961731
