phase,data,source_kernel,noise_mode,seed,n_train,loo_rmse,loo_mae,loo_mean_lpd,loo_pit_ks,loo_coverage_95,loo_crps,bloo_rmse,bloo_mae,bloo_mean_lpd,bloo_pit_ks,bloo_coverage_95,bloo_crps,bloo_n_blocks,bloo_avg_block_size,ell_time_blind,max_blind_lengthscale,min_blind_lengthscale,binder_within_ratio,aggregate_within_ratio,ell_time_specific,ell_time_rbf,bloo_set12_rmse,bloo_set12_mae,bloo_set12_mean_lpd,bloo_set12_pit_ks,bloo_set12_coverage_95,bloo_set12_crps,bloo_set12_n_rows,wall_sec,sigma_c0_psi,sigma_c1_psi,sigma_c2_psi,holdout_class,n_test,holdout_rmse,holdout_mae,holdout_mean_lpd,holdout_pit_ks,holdout_coverage_95,holdout_crps
loco,v5,joint_hamming_matern,per_class,1,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.485936880111694,,,,0.0,246.0,3596.110815125326,2939.7485010756322,-10.018858431859968,0.36869800835331,1.0,2507.948023961731
loco,v5,joint_hamming_matern,per_class,2,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.82958173751831,,,,0.0,246.0,3596.110815125326,2939.7485010756322,-10.018858431859968,0.36869800835331,1.0,2507.948023961731
loco,v5,joint_hamming_matern,homoscedastic,0,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.15151000022888,,,,1.0,149.0,2735.7476370774725,2135.7714086520677,-10.120258740704502,0.39142372002754894,0.7651006579399109,1609.9608917514395
loco,v5,joint_hamming_matern,homoscedastic,1,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.02327871322632,,,,1.0,149.0,2735.7476370774725,2135.7714086520677,-10.120258740704502,0.39142372002754894,0.7651006579399109,1609.9608917514395
loco,v5,joint_hamming_matern,homoscedastic,2,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.05755996704102,,,,1.0,149.0,2735.7476370774725,2135.7714086520677,-10.120258740704502,0.39142372002754894,0.7651006579399109,1609.9608917514395
loco,v5,joint_hamming_matern,per_class,0,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.785146713256836,,,,1.0,149.0,2864.597317466598,2237.107399156431,-9.481059918248734,0.36858946787810887,0.9932885766029358,1671.8188060813488
loco,v5,joint_hamming_matern,per_class,1,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.57583284378052,,,,1.0,149.0,2864.597317466598,2237.107399156431,-9.481059918248734,0.36858946787810887,0.9932885766029358,1671.8188060813488
loco,v5,joint_hamming_matern,per_class,2,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.691991090774536,,,,1.0,149.0,2864.597317466598,2237.107399156431,-9.481059918248734,0.36858946787810887,0.9932885766029358,1671.8188060813488
loco,v5,joint_hamming_matern,homoscedastic,0,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.15130877494812,,,,2.0,252.0,1113.402703495694,913.6526552395337,-8.642613247322767,0.26142012522671915,1.0,687.4255927818668
loco,v5,joint_hamming_matern,homoscedastic,1,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.780669927597046,,,,2.0,252.0,1113.402703495694,913.6526552395337,-8.642613247322767,0.26142012522671915,1.0,687.4255927818668
loco,v5,joint_hamming_matern,homoscedastic,2,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.722512006759644,,,,2.0,252.0,1113.402703495694,913.6526552395337,-8.642613247322767,0.26142012522671915,1.0,687.4255927818668
loco,v5,joint_hamming_matern,per_class,0,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.70821499824524,,,,2.0,252.0,1157.4553226714354,959.9939645918399,-9.53351904953205,0.38206639019194044,1.0,1356.8427967269417
loco,v5,joint_hamming_matern,per_class,1,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.633050680160522,,,,2.0,252.0,1157.4553226714354,959.9939645918399,-9.53351904953205,0.38206639019194044,1.0,1356.8427967269417
loco,v5,joint_hamming_matern,per_class,2,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.909953832626343,,,,2.0,252.0,1157.4553226714354,959.9939645918399,-9.53351904953205,0.38206639019194044,1.0,1356.8427967269417
