phase,data,source_kernel,seed,n_train,loo_rmse,loo_mae,loo_mean_lpd,loo_pit_ks,loo_coverage_95,loo_crps,bloo_rmse,bloo_mae,bloo_mean_lpd,bloo_pit_ks,bloo_coverage_95,bloo_crps,bloo_n_blocks,bloo_avg_block_size,ell_time_blind,max_blind_lengthscale,min_blind_lengthscale,binder_within_ratio,aggregate_within_ratio,ell_time_specific,ell_time_rbf,bloo_set12_rmse,bloo_set12_mae,bloo_set12_mean_lpd,bloo_set12_pit_ks,bloo_set12_coverage_95,bloo_set12_crps,bloo_set12_n_rows,wall_sec,holdout_class,n_test,holdout_rmse,holdout_mae,holdout_mean_lpd,holdout_pit_ks,holdout_coverage_95,holdout_crps
in_distribution,v5,rbf_embedding_d1,0,647,497.3025790136469,348.46019658273815,-7.594783271211581,0.07895016479279504,0.9350849986076355,262.1608240265061,761.0360239306785,575.3345720691792,-8.066318572066264,0.036640144165984934,0.927357017993927,427.4646372508101,144.0,4.493055555555555,67.32824428503653,67.32824428503653,0.07020009237234354,1.0000002371301422,1.0000014263070813,6.483246083457487,73.24403955478354,884.9287558730896,685.7862022020688,-8.334070616516994,0.056083338656623294,0.9113923907279968,517.7412478465919,395.0,119.64956521987915,,,,,,,,
in_distribution,v5,rbf_embedding_d1_fixed_ell,0,647,505.984738143714,360.357510174255,-7.622257396766921,0.0663683555746839,0.9443585872650146,270.19549338274373,728.9837925458288,555.2031133717662,-8.009776699176225,0.0317964698124078,0.9258114099502563,406.6900051273618,144.0,4.493055555555555,66.8673923519288,66.8673923519288,0.5668912672923923,1.0000005701374381,1.0000006370806156,61.01001782962533,52.229388779491984,854.4849610219029,674.3498443629375,-8.286976886106217,0.04007328884367162,0.9012657999992371,498.5936278983606,395.0,76.32608318328857,,,,,,,,
in_distribution,v5,rbf_embedding_d1_linear_init,0,647,497.6132489989509,348.9594789517511,-7.596417716698739,0.08154839636596256,0.9350849986076355,262.58913845424365,760.6795118819944,576.4595826404976,-8.063490738001098,0.035428703151542895,0.9227202534675598,426.97178928874337,144.0,4.493055555555555,77.10902059590745,77.10902059590745,0.06978545565130181,1.000000815922031,1.0000007921799734,22.874665568666607,92.03029342903686,884.3871955574159,687.1655401192306,-8.330971060784037,0.05289979661113242,0.903797447681427,516.9685088959748,395.0,96.7103021144867,,,,,,,,
in_distribution,v5,rbf_embedding_d1_linear_init_fixed_ell,0,647,509.98078206040947,362.97027803557916,-7.626743813676858,0.06658386225498458,0.942812979221344,271.9520754663676,721.659800967873,549.2152612709615,-8.004668320523557,0.037982234227275535,0.9304482340812683,404.0815555783545,144.0,4.493055555555555,19.03645130448836,19.03645130448836,0.6430575643203373,1.000002616292049,1.0000000714068675,11.054161037489997,61.87287252127494,843.2271228908402,661.3282222608956,-8.272693270579245,0.040372858472764506,0.9139240384101868,492.909851279653,395.0,111.44469499588013,,,,,,,,
in_distribution,v5,rbf_embedding_d2,0,647,496.5706723220319,348.2877465650861,-7.595199287910243,0.08031539882758254,0.9350849986076355,262.17282923171797,757.1066792430237,574.2377832209444,-8.066404312411327,0.03630851750045633,0.9258114099502563,426.5093582591083,144.0,4.493055555555555,52.03176847252338,52.03176847252338,0.06595400791375317,1.0000004339680921,1.0000023997617824,6.7929395948903615,50.75703097684836,878.1434083434289,682.2049452222026,-8.331446590549362,0.05313126922056388,0.9088607430458069,515.1940160606134,395.0,125.9761381149292,,,,,,,,
in_distribution,v5,rbf_embedding_d2_fixed_ell,0,647,512.1451289214962,364.5699554721026,-7.629970037774143,0.06403448382130505,0.9397217631340027,273.1323653425874,723.3464478211121,547.8518994968949,-8.003963317947647,0.04006803836872003,0.931993842124939,404.28269864494354,144.0,4.493055555555555,89.47034467127312,89.47034467127312,0.7246275229157682,1.000003307118469,1.00000077965723,49.199861588920406,64.54273355102065,847.7228306742877,661.4210749909522,-8.273812920348599,0.04342575536514609,0.9139240384101868,494.656186580187,395.0,87.10180497169495,,,,,,,,
in_distribution,v5,rbf_embedding_d3,0,647,510.7866568097762,360.2429622269915,-7.629894374695571,0.07826833999611027,0.9350849986076355,271.65630789481713,734.9088725085428,553.2333557614048,-8.0716408155621,0.03975177828789889,0.927357017993927,415.267192543402,144.0,4.493055555555555,67.0355884997793,67.0355884997793,0.07049512465154435,1.0000005442273032,1.000001517167895,11.826569026796012,65.84557228128506,867.8849602591879,674.9455015332817,-8.393936512993937,0.05505748735446325,0.9012657999992371,514.6170728844462,395.0,104.60442996025085,,,,,,,,
in_distribution,v5,rbf_embedding_d3_fixed_ell,0,647,509.747447114132,362.79381605879115,-7.626636752981894,0.06494668216026567,0.9397217631340027,271.8786180201736,721.9264702730242,549.3103605880732,-8.006381613135606,0.03764904373933853,0.927357017993927,404.6561825007811,144.0,4.493055555555555,259.445777407902,259.445777407902,0.6352510965135054,1.0000027748957836,1.0000003669307909,110.13475068335534,181.27804844445154,843.2118944739185,660.9053427828208,-8.273943549134414,0.03905889177981864,0.9088607430458069,493.47337197540975,395.0,81.6552619934082,,,,,,,,
in_distribution,v5,legacy_continuous_ard,0,647,538.7009323692181,384.6148869613327,-7.682297370372878,0.0710640366116525,0.942812979221344,287.6102196925586,701.5777050497016,514.3558286331015,-7.976393250442,0.04000394391958595,0.9211746454238892,385.2532992880651,144.0,4.493055555555555,6.23293463082191,16.060855373085477,0.25672343238592205,1.000000705358275,1.0000009552522564,27.457637063027608,35.9333698563129,835.7292793401787,635.2892952911639,-8.29535188437128,0.04679345975947109,0.8835443258285522,481.5405980182424,395.0,61.57422995567322,,,,,,,,
in_distribution,v5,hamming,0,647,510.4514750841086,359.78284074944787,-7.628871490662623,0.07934771969038379,0.9350849986076355,271.3298515612263,737.5803514959786,555.8724519901879,-8.077600766017214,0.039352247748261404,0.927357017993927,417.62453378730686,144.0,4.493055555555555,72.26964033269977,72.26964033269977,0.06477442208782883,1.0000002046422714,1.0000019856726214,14.447783014244163,110.70093753820294,871.1193624902176,678.6895780165665,-8.400846252793235,0.05285060108453399,0.9012657999992371,517.8582951609907,395.0,102.98770785331726,,,,,,,,
loco,v5,rbf_embedding_d1,0,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.05044412612915,0.0,246.0,2891.290425347912,2390.918221795926,-9.688345713320846,0.22367014947833952,1.0,1881.295947663641
loco,v5,rbf_embedding_d1_fixed_ell,0,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.66143202781677,0.0,246.0,3426.833061960599,2149.9067916331396,-9.319608797989048,0.15642964605053905,0.8780487775802612,1636.8746550780033
loco,v5,rbf_embedding_d1_linear_init,0,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.33407688140869,0.0,246.0,2503.426503057641,2051.8245822351687,-9.438170786909328,0.2079756401989994,1.0,1537.0024202625827
loco,v5,rbf_embedding_d1_linear_init_fixed_ell,0,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.58721208572388,0.0,246.0,2624.0304364510084,2164.906296821451,-9.415903627154917,0.21189525340592785,1.0,1560.6646179313248
