source_kernel,loo_rmse,bloo_rmse,bloo_pit_ks,bloo_coverage_95,bloo_set12_rmse,bloo_set12_pit_ks,loco_0_rmse,loco_0_pit_ks,loco_0_n_test,loco_1_rmse,loco_1_pit_ks,loco_1_n_test,loco_2_rmse,loco_2_pit_ks,loco_2_n_test,weighted_loco_rmse,weighted_loco_rmse_mse
hamming,510.4514750841086,737.5803514959786,0.0393522477482614,0.927357017993927,871.1193624902174,0.0528506010845339,2730.021030997294,0.1864104007713483,246,2649.271814332031,0.2910664959877738,149,1318.7149923902768,0.3206218377008559,252,2161.7354745643843,2264.383701442214
joint_chain_matern,495.16543283535674,720.0215206721567,0.0334430202679779,0.9366306066513062,839.4274395860842,0.0394058049984296,2853.3062352253814,0.22452821694241268,246,2807.117866028058,0.3549201863517852,149,1113.4027107094494,0.2614201319769048,252,2164.9944034040277,2322.2850624857774
joint_embedding_matern_d1,495.1869307805429,724.208736322313,0.0340101705753715,0.9366306066513062,843.6806790214226,0.0386203123899198,3351.9905095577574,0.2997574812694417,246,2735.953163335899,0.3736738208218245,149,1319.8623009650892,0.315213678469208,252,2418.6274907750535,2583.487107615395
joint_embedding_matern_d1_linear_init,494.95000326808787,715.7438018998923,0.0315116676761071,0.9381762146949768,832.7083264714956,0.0394633467817663,3080.437642949945,0.2633841284653996,246,2802.1947454085985,0.3366402227117818,149,1324.8322493591097,0.3141839486395611,252,2332.5694035085985,2469.7912514455375
joint_embedding_matern_d2,495.5161988982862,715.9534526352495,0.0305101098253461,0.9366306066513062,833.0237999634192,0.0426046234221009,4147.6202967386425,0.3835614363016757,246,2795.2850562449553,0.3864856395273077,149,1123.199106658951,0.2666958427530713,252,2658.204391431623,2971.795259080884
joint_embedding_matern_d3,495.19953350172494,715.6541682189533,0.0297157008746888,0.9381762146949768,832.1184397519015,0.0397338472505907,2810.026265379209,0.2382690180520899,246,2804.6404541653774,0.3197759782034382,149,1304.2789274403326,0.3118074290355773,252,2222.3124863506805,2340.1608563247746
joint_hamming_matern,494.8613748222676,717.2828447793387,0.0297155624253557,0.9366306066513062,835.117161242365,0.041365525518515904,2853.3062352253814,0.22452821694241273,246,2735.7476370774725,0.3914237200275488,149,1113.4027034956941,0.26142012522671904,252,2148.558289135861,2302.586534742948
joint_hamming_matern_nu05,506.6918788096664,719.7021295940209,0.05975038060439971,0.9397217631340028,849.9614021121855,0.05332148775913529,2378.862546714618,0.2744641007506882,246,2228.2694924790594,0.2204211965719227,149,1577.1250857105224,0.3355675555477344,252,2031.9132341116344,2064.915913717346
joint_hamming_matern_nu25,522.5257104468617,701.4443771780085,0.0303893431094252,0.9366306066513062,816.695345830829,0.0376965131906885,3718.561526410131,0.1468387632128683,246,2731.346668383494,0.3716693818867798,149,871.2678401571555,0.2959271052869046,252,2382.2199146918642,2696.5222388813595
legacy_continuous_ard,538.7009323692181,701.5777050497016,0.0400039439195859,0.9211746454238892,835.7292793401786,0.046793459759471,2881.559014092536,0.21371702593576922,246,2912.368638114234,0.3969296955315678,149,1139.0921691021756,0.34041809421437813,252,2209.9809446051513,2369.7643451799754
rbf_embedding_d2,496.5706723220319,757.1066792430237,0.0363085175004563,0.9258114099502563,878.1434083434289,0.05313126922056379,2823.9405280588185,0.22680075107829237,246,2705.163265522542,0.35084793796801556,149,849.0746427678167,0.3024694419168539,252,2027.396455089363,2235.65445486982
