data,twin_variant,source_kernel,wall_sec,loo_rmse,loo_mae,loo_mean_lpd,loo_pit_ks,loo_coverage_95,loo_crps,bloo_rmse,bloo_mae,bloo_mean_lpd,bloo_pit_ks,bloo_coverage_95,bloo_crps,bloo_n_blocks,bloo_avg_block_size,ell_time_blind,max_blind_lengthscale,min_blind_lengthscale,binder_within_ratio,aggregate_within_ratio,ell_time_specific,ell_time_rbf,bloo_set12_rmse,bloo_set12_mae,bloo_set12_mean_lpd,bloo_set12_pit_ks,bloo_set12_coverage_95,bloo_set12_crps,bloo_set12_n_rows,n_train
pre-v5,with twins,legacy_continuous_ard,92.76367402076721,532.6619383878409,382.0845721602392,-7.675672290736787,0.07062982407017515,0.9505409598350525,285.19098807743796,679.9600173488788,517.3258057554767,-7.994950511673889,0.036577411507128066,0.9304482340812683,384.76355541302655,144.0,4.493055555555555,15.417636460316324,18.285649405257413,0.5310802247680041,1.0000002602416018,1.0000006413004745,53.57437907980632,62.82709426347596,793.5016043166682,622.2548328883842,-8.292977348296843,0.04142405078882927,0.903797447681427,470.00559604860626,395.0,647
pre-v5,with twins,hamming,73.14787602424622,508.46669687449537,361.8338237865762,-7.624780057753834,0.06621186639321142,0.9412673711776733,271.21253322528935,724.7230462951699,550.2123450711366,-8.007726020003174,0.041761973904067995,0.9242658615112305,405.17932936318266,144.0,4.493055555555555,18.622380601188272,18.622380601188272,0.6215159526158841,1.0000029650390228,1.0000008579426531,14.74044742272811,72.2551379920789,847.9305236073857,663.8205749927255,-8.280264106492895,0.04764162075145262,0.903797447681427,495.34210297509594,395.0,647
pre-v5,with twins,indexkernel_r2,68.48492813110352,535.3389539954113,366.4940208602181,-7.659835022266369,0.08221901369978124,0.9350849986076355,278.93785077793586,733.9418891521346,558.6542249530564,-8.086605321283198,0.05246746901480426,0.9350849986076355,414.69447702407217,144.0,4.493055555555555,8.469656476616795,8.469656476616795,0.08711189897000683,1.0000100326775703,1.000000171756889,46.87849961129404,50.547424313014915,861.2124525099833,665.7867583563567,-8.410191389967029,0.07118574505899744,0.9012657999992371,508.24200701169417,395.0,647
pre-v5,drop high,legacy_continuous_ard,65.56262302398682,459.3599633455054,321.23852477622677,-7.4946307040226205,0.07902615378814215,0.9315707683563232,241.03546788821728,770.1202519563358,577.0908208145497,-8.138210271115488,0.039013388849085506,0.9222394824028015,437.6086014293576,144.0,4.465277777777778,30.85149920803436,30.85149920803436,0.0900670361876401,1.0000084321818623,1.000003342799443,109.90513796206297,92.60895493589204,899.2464535030653,687.5139378159886,-8.42910662975593,0.05775059264950244,0.9181585907936096,532.5507829323763,391.0,643
pre-v5,drop high,hamming,76.77721786499023,465.9659563833134,332.6878713454872,-7.531579789110075,0.06824785232766573,0.9346811771392822,248.80792505927883,743.6677112181777,573.4610037535415,-8.091591907778728,0.03241143276088537,0.9160186648368835,423.20982402796045,144.0,4.465277777777778,11.549871302560458,11.549871302560458,0.6691409629083255,1.0000006904093068,1.0000003781875357,27.262226704637495,62.58775183105057,854.5136966650089,673.1527773931484,-8.34765688532251,0.04434494255106691,0.9002557396888733,504.5521330029648,391.0,643
pre-v5,drop high,indexkernel_r2,121.41259288787842,465.42162434886416,322.3155522237025,-7.476661201906532,0.06481267037255445,0.9362363815307617,240.4360188564468,788.1588528871662,590.2825656166303,-8.118267875173972,0.05110902452595906,0.923794686794281,445.16855215523185,144.0,4.465277777777778,4.916640587745776,65.04830764143196,0.00999999977648258,1.0000042862736667,1.0000020689025924,787.7145447374099,48.06316154204819,928.2760696992858,712.9850799774372,-8.391415629290307,0.07437289556775817,0.9258311986923218,547.3014652059154,391.0,643
v5,with twins,legacy_continuous_ard,63.06920385360718,538.7009323692181,384.6148869613327,-7.682297370372878,0.0710640366116525,0.942812979221344,287.6102196925586,701.5777050497016,514.3558286331015,-7.976393250442,0.04000394391958595,0.9211746454238892,385.2532992880651,144.0,4.493055555555555,6.23293463082191,16.060855373085477,0.25672343238592205,1.000000705358275,1.0000009552522564,27.457637063027608,35.9333698563129,835.7292793401787,635.2892952911639,-8.29535188437128,0.04679345975947109,0.8835443258285522,481.5405980182424,395.0,647
v5,with twins,hamming,103.8019471168518,510.4514750841086,359.78284074944787,-7.628871490662623,0.07934771969038379,0.9350849986076355,271.3298515612263,737.5803514959786,555.8724519901879,-8.077600766017214,0.039352247748261404,0.927357017993927,417.62453378730686,144.0,4.493055555555555,72.26964033269977,72.26964033269977,0.06477442208782883,1.0000002046422714,1.0000019856726214,14.447783014244163,110.70093753820294,871.1193624902176,678.6895780165665,-8.400846252793235,0.05285060108453399,0.9012657999992371,517.8582951609907,395.0,647
v5,with twins,indexkernel_r2,143.24423623085022,498.42706686206753,343.1749678354666,-7.5645776668572955,0.08053852025282104,0.9366306066513062,258.30291376707083,746.6929625373938,539.5605204408305,-7.929999189977669,0.056313119232899056,0.9489953517913818,395.1513204715055,144.0,4.493055555555555,75.83871080301986,75.83871080301986,0.0755196119795939,1.0000009470438196,1.0000035712127748,3.2437191103689003,92.01263819072169,888.909824255138,665.5551899473639,-8.179369983939008,0.0802819030657772,0.9569620490074158,488.3367111090244,395.0,647
v5,drop high,legacy_continuous_ard,61.7216739654541,460.7973550006172,323.32346817682327,-7.4989053889637045,0.082819398654429,0.9409019947052002,242.14749738896708,736.42131716837,544.7656468447115,-8.046836636042837,0.07152640165739466,0.9269051551818848,411.9352480885496,144.0,4.465277777777778,5.503284370751278,5.503284370751278,0.044731466539608605,1.0000009908563783,1.000002009173961,50.256727092289466,57.1107841834268,870.334162611642,661.2180226722619,-8.31645753898907,0.07471814587557835,0.8976982235908508,502.82360354300647,391.0,643
