,Cement,Fly Ash,Slag,Water,HRWR,Fine Aggregate
0,397.1704,0.0,102.8296,207.2848,1.3333334,1375.0
1,377.256,122.744,0.0,178.1134,1.3333334,1375.0
2,371.4286,0.0,128.5714,222.5441,1.3333334,1375.0
3,415.4077,84.5923,0.0,176.1032,1.3333334,1375.0
4,250.2285,0.0,249.7715,198.4364,1.3333334,1375.0
5,350.0,3.748114e-19,150.0,100.0,1.3333334,1375.0
6,308.6762,21.81095,169.51285,100.0,1.3333334,1375.0
7,272.20255,32.20387,195.5936,100.0,1.3333334,1375.0
8,208.11409,88.50898,203.37694,100.0,1.3333334,1375.0
