,Cement,Fly Ash,Slag,Water,HRWR,Fine Aggregate
0,220.00839,54.991608,225.0,100.0,2.1111112,1375.0
1,172.03497,102.96503,225.0,100.0,2.1111112,1375.0
2,150.48969,129.43178,220.07854,124.87622,2.1111112,1375.0
3,228.78831,94.39263,176.81906,100.0,2.1111112,1375.0
4,241.59637,62.074234,196.32939,112.00402,2.1111112,1375.0
5,306.09528,81.44597,112.45875,104.18031,2.1111112,1375.0
6,255.57547,75.83458,168.58995,100.0,2.1111112,1375.0
7,249.72041,78.355774,171.92381,100.0,2.1111112,1375.0
8,296.48587,33.922268,169.59186,100.0,2.1111112,1375.0
